lat,lng,download
40.750301,-73.99278,2.75
40.761308,-74.075811,0.1
40.734518,-74.163744,1.05
40.704432,-74.190695,1.86
40.568648,-74.329499,0.1
40.449444,-74.489722,0.7
40.218609,-74.75353,3.13
40.001389,-75.095,0
39.983056,-75.183056,3.01
39.896111,-75.290556,0.1
39.797686,-75.452093,0
39.737075,-75.551176,0
39.625278,-75.814444,1.09
39.418506,-76.286479,1.4
39.331944,-76.441111,0.96
39.300767,-76.563975,2.42
39.307593,-76.615471,0.74
39.297778,-76.651667,2.34
39.192206,-76.694417,0.15
39.071667,-76.722778,0.12
38.948894,-76.870222,0.2
38.735278,-76.974167,0.2