lat,lng,download,upload
38.899444,-77.005278,6.33,3.56
38.899167,-77.005556,3.38,0
38.948894,-76.870222,3.65,0.4
39.08697,-76.7062,0.6,0.56
39.192206,-76.694417,3.43,2.56
39.275,-76.676111,2.57,5.31
39.2925,-76.654444,4.58,2
39.301944,-76.648611,8.92,1.13
39.307593,-76.615471,5.91,2.19
39.3025,-76.58,0,0
39.350833,-76.384167,4.44,1.42
39.439167,-76.238333,2.76,2.98
39.535556,-76.114167,0.06,0
39.710556,-75.619167,0.18,0
39.737075,-75.551176,0.18,3.81
39.827081,-75.407545,0.15,0
39.890278,-75.304167,0.17,0.46
39.955456,-75.181081,0.19,0.35
39.9725,-75.198056,0.11,1.92
40.004167,-75.09,0.16,1.4
40.100278,-74.862778,0.1,0
40.218609,-74.75353,0.12,0
40.419722,-74.510556,0.17,3.14
40.568648,-74.329499,0,0
40.667836,-74.215236,0.11,0.57
40.704432,-74.190695,0.16,1.8
40.734518,-74.163744,0.15,3.96
40.761308,-74.075811,0.012,0
40.750301,-73.99278,0.1,0